City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,23.51,78,100,5.92,ZA,1703920624
1,waitangi,-43.9535,-176.5597,17.68,96,100,3.13,NZ,1703920624
2,walvis bay,-22.9575,14.5053,17.83,75,0,1.45,NA,1703920625
3,ushuaia,-54.8,-68.3,7.81,87,75,11.83,AR,1703920625
4,labytnangi,66.6572,66.4183,-15.64,78,50,10.53,RU,1703920626
5,smithers,54.7804,-127.1743,3.18,93,100,2.06,CA,1703920340
6,papatowai,-46.5619,169.4708,12.62,75,9,6.0,NZ,1703920627
7,qaqortoq,60.7167,-46.0333,-17.82,71,0,2.62,GL,1703920628
8,edinburgh of the seven seas,-37.0676,-12.3116,17.38,99,100,5.25,SH,1703920628
9,port elizabeth,-33.918,25.5701,25.05,66,100,1.24,ZA,1703920525
10,saldanha,-33.0117,17.9442,24.03,74,19,2.26,ZA,1703920629
11,enewetak,11.3474,162.3373,27.69,81,94,6.8,MH,1703920629
12,srirampur,22.9489,88.0189,26.49,37,0,3.02,IN,1703920630
13,st. john's,47.5649,-52.7093,1.1,96,100,8.23,CA,1703920630
14,blackmans bay,-43.0167,147.3167,16.52,49,95,1.79,AU,1703920631
15,manokwari,-0.8667,134.0833,28.17,78,44,2.03,ID,1703920632
16,mantua,45.1667,10.7833,8.38,91,100,0.45,IT,1703920632
17,yellowknife,62.456,-114.3525,-11.71,92,75,2.06,CA,1703920633
18,port-aux-francais,-49.35,70.2167,6.33,93,100,18.85,TF,1703920633
19,west island,-12.1568,96.8225,30.99,66,100,4.63,CC,1703920634
20,sisimiut,66.9395,-53.6735,-12.69,66,100,6.58,GL,1703920635
21,garissa,-0.4536,39.6401,30.54,62,55,5.52,KE,1703920636
22,ibanda,-2.7974,32.4746,19.73,94,100,1.72,TZ,1703920636
23,nar'yan-mar,67.6713,53.087,-16.05,97,100,4.02,RU,1703920636
24,sechura,-5.5569,-80.8222,22.86,75,99,2.72,PE,1703920637
25,punta arenas,-53.15,-70.9167,10.06,76,0,10.29,CL,1703920638
26,namibe,-15.1961,12.1522,21.13,74,45,2.45,AO,1703920638
27,san patricio,28.017,-97.5169,11.91,51,0,3.46,US,1703920639
28,mount gambier,-37.8333,140.7667,16.74,51,6,4.69,AU,1703920640
29,olonkinbyen,70.9221,-8.7187,-8.34,69,100,7.06,SJ,1703920640
30,albany,42.6001,-73.9662,4.8,85,100,3.13,US,1703920641
31,ouddorp,51.8117,3.9347,8.9,84,100,8.46,NL,1703920641
32,san jose de jachal,-30.2406,-68.7469,21.7,31,11,0.73,AR,1703920642
